Dates,MSCI World Net Total Return Lo,Bloomberg Commodity Index,S&P GSCI Energy Official Close,S&P GSCI Industrial Metals Off,S&P GSCI Precious Metals Offic,S&P GSCI Agriculture Official,S&P GSCI Gold Official Close I,UK RPI MOM
29/06/1984,0.018340733,-0.039032551,-0.062579031,-0.051216968,-0.055371967,-0.028661244,-0.044461265,0.003
31/07/1984,-0.02174066,-0.09774643,-0.08251826,-0.080644435,-0.118830283,-0.080632445,-0.105324334,-0.001
31/08/1984,0.096900252,0.038933339,0.078395895,0.073261508,0.026884176,0.001338024,0.021981309,0.009
28/09/1984,0.009065301,-0.026236753,0.036411816,-0.087955447,-0.022903966,-0.033149178,-0.018715001,0.002
31/10/1984,0.012097078,-0.006227923,-0.063932735,0.041703201,-0.039633806,0.030200897,-0.04355333,0.006
30/11/1984,0.000104787,-0.022639261,-0.042248943,-0.042788859,-0.025421386,-0.029443803,-0.022606104,0.003
31/12/1984,0.029073678,-0.041085933,-0.0454734,-0.028038839,-0.07960282,-0.030417977,-0.071364272,-0.001
31/01/1985,0.062268656,0.01072523,0.019766989,0.094405699,-0.019317605,0.015317013,-0.019491464,0.004
28/02/1985,0.017332962,-0.035696001,0.041987496,-0.060362098,-0.075090649,-0.0375334,-0.060832631,0.008
29/03/1985,0.009467049,0.074386924,0.088461447,0.050335003,0.14465006,0.045898248,0.140621447,0.009
30/04/1985,-0.002471767,-0.031452117,-0.027929686,-0.022444637,-0.056738324,-0.016818305,-0.052679147,0.021
31/05/1985,0.049056832,-0.013960608,0.003138605,-0.020193859,-0.005712006,-0.034523511,-0.00294912,0.005
28/06/1985,0.009824963,-0.015119052,-0.029696214,-0.032485523,-0.007212184,-0.006369033,-0.005633806,0.002
31/07/1985,-0.008387488,-0.005325181,0.023297151,0.026027713,0.034267378,-0.045593536,0.03122696,-0.002
